,Timestamp,,TimeUS,GPS_ID,Status,GMS,GWk,Nstats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
59129,55:52.6,GPS,76785107,0,6,168970600,2401,10,1.21,-35.3631284,149.1649448,605.21,8.399,355.1466,-0.64,0,1
59484,55:52.8,GPS,76985027,0,6,168970800,2401,10,1.21,-35.3631131,149.1649431,605.34,8.695001,355.1594,-0.664,0,1
59841,55:53.0,GPS,77184947,0,6,168971000,2401,10,1.21,-35.3630973,149.1649416,605.48,8.955001,355.175,-0.684,0,1
60197,55:53.2,GPS,77384867,0,6,168971200,2401,10,1.21,-35.3630811,149.1649399,605.62,9.183001,355.1828,-0.7,0,1
60560,55:53.4,GPS,77584787,0,6,168971400,2401,10,1.21,-35.3630644,149.1649382,605.76,9.381001,355.1816,-0.7130001,0,1
60917,55:53.6,GPS,77784707,0,6,168971600,2401,10,1.21,-35.3630474,149.1649364,605.9,9.549001,355.1704,-0.723,0,1
61272,55:53.8,GPS,77984627,0,6,168971800,2401,10,1.21,-35.3630302,149.1649347,606.05,9.685,355.1505,-0.73,0,1
61629,55:54.0,GPS,78185380,0,6,168972000,2401,10,1.21,-35.3630128,149.1649328,606.2,9.788,355.1251,-0.735,0,1
61985,55:54.2,GPS,78385300,0,6,168972200,2401,10,1.21,-35.3629952,149.164931,606.34,9.856001,355.0961,-0.7360001,0,1
62346,55:54.4,GPS,78585220,0,6,168972400,2401,10,1.21,-35.3629775,149.1649291,606.49,9.892,355.0634,-0.735,0,1
62704,55:54.6,GPS,78785140,0,6,168972600,2401,10,1.21,-35.3629598,149.1649272,606.64,9.911,355.0282,-0.7320001,0,1
62732,55:54.6,GPS,78805132,1,1,0,0,0,-0.01,0,0,0,0,0,0,0,0
63061,55:54.8,GPS,78985060,0,6,168972800,2401,10,1.21,-35.3629421,149.1649253,606.78,9.929001,354.9897,-0.729,0,1
63418,55:55.0,GPS,79184980,0,6,168973000,2401,10,1.21,-35.3629243,149.1649234,606.93,9.952001,354.9478,-0.728,0,1
63774,55:55.2,GPS,79384900,0,6,168973200,2401,10,1.21,-35.3629064,149.1649215,607.07,9.974001,354.9054,-0.7270001,0,1
64135,55:55.4,GPS,79584820,0,6,168973400,2401,10,1.21,-35.3628886,149.1649195,607.22,9.995001,354.8643,-0.7270001,0,1
64493,55:55.6,GPS,79784740,0,6,168973600,2401,10,1.21,-35.3628706,149.1649175,607.37,10.015,354.826,-0.726,0,1
64848,55:55.8,GPS,79984660,0,6,168973800,2401,10,1.21,-35.3628527,149.1649155,607.51,10.03,354.7911,-0.7270001,0,1
65205,55:56.0,GPS,80184580,0,6,168974000,2401,10,1.21,-35.3628348,149.1649134,607.66,10.041,354.7598,-0.7270001,0,1
65561,55:56.2,GPS,80385333,0,6,168974200,2401,10,1.21,-35.3628168,149.1649115,607.8,10.047,354.7326,-0.7270001,0,1
